1,가가, 집집.
2,가가례, 그 집안에 따라 저마다 다르게 행하는 예법.(family code of etiquette) ¶제사 지내는 절차도 집마다 가가례라.
3,가가 문전, 집집마다의 문 앞. ¶가가 문전 다니면서 동정을 구하다.
4,가가 호호, 집집마다. ¶가가 호호에 펄럭이는 태극기.
5,가가, 껄껄. 크게 웃는 소리의 형용.
6,가가 대소, 껄껄 크게 웃음.(a roar of laughter)
7,까까머리, ①머리털을 빡빡 깎은 중의 머리. ②중처럼 빡빡 깎은 머리.
8,가각, ①인정이 없고 각박함. ②잔인함.
9,가각본, 개인이 간행한 책.(personally printed book)
10,가간사, ①집안의 사사로운 일. ②각각 자기집에 관계되는 일.(family affairs)
11,가감, ①감당할 만함.(capable) ②견딜 만함.(bearable)
12,가객, 시조 따위의 노래를 잘 부르던 사람의 예스러운 일컬음.
13,가객, 반가운 손님.(welcome guest) (유)가빈(佳賓).
14,가거, ①벼슬을 하지 아니하고 집에 있음. ②시집가지 아니하고 생가(生家)에 있음.③거처하는 집.
15,가거, <토>길바닥의 빗물 따위를 빼려고 만든 얕은 도랑.(gutter)
16,가결, 의안을 좋다고 인정하여 결정함.(approval) ¶본회의에서 만장 일치로 가결 통과. <-> 부결(否決).
17,가결의," 회의에서 결의할 요건이 갖추어지지 못하였을 때, 뒤에 승인을 받기로 하고 우선 행하는 결의."
18,가경, ①흥치를 끄는 고비. 재미있는 지경.(climax) ¶이야기가 점점 가경에 들어가다. ②경치 좋은 곳.(fine scenery)
19,가경, 아름다운 경치. 좋은 경치. 뛰어난 경치. (유)절경(絶景). 승경(勝景).
20,가경, 경사스러운 일.
21,가경, 놀랄 만함.
22,가경지, 경작할 수 있는 토지.
23,가계, 한 집안의 계통. 혈통(血統).
24,가계, ①집안의 살아 가는 형편이나 방도. 살림살이. ②집안의 생활 정도.
25,가계, = 집문서.
26,가계, ①화폐 액면과 시가(時價)가 다를 때 그 차액을 보태어 계산하는 일. ②가산(加算).
27,가고, 집안에 생기는 탈.
28,가고할, 참고하여 볼 만한.
29,가공, ①천연물이나 덜 된 물건에 인공(人工)을 더함.(manufacturing) ②<법>남의 동산(動産)에 공작을 가하여 이를 새 물건으로 만드는 일.
30,가공, ①터무니 없음. 근거 없음. 사실이 아님.(fictitiousness) ¶가공 인물. 가공적(的). ②공중에 가로 건너지름.
